"Complexity","Time in ms","Count"
10,0.014,2
20,0.009,2
30,0.016,2
40,0.028,2
50,0.044,2
60,0.062,2
70,0.096,2
80,0.098,2
90,0.114,2
100,0.166,2
110,0.213,2
120,0.224,2
130,0.265,2
140,0.297,2
150,0.379,2
160,0.39,2
170,0.219,2
180,0.079,2
190,0.095,2
200,0.082,2
210,0.113,2
220,0.16,2
230,0.147,2
240,0.12,2
250,0.106,2
260,0.139,2
270,0.125,2
280,0.133,2
290,0.178,2
300,0.154,2
310,0.16,2
320,0.169,2
330,0.18,2
340,0.205,2
350,0.206,2
360,0.214,2
370,0.225,2
380,0.236,2
390,0.25,2
400,0.262,2
410,0.275,2
420,0.289,2
430,0.299,2
440,0.316,2
450,0.285,2
460,0.232,2
470,0.252,2
480,0.254,2
490,0.258,2
500,0.245,2
510,0.247,2
520,0.252,2
530,0.278,2
540,0.275,2
550,0.277,2
560,0.28,2
570,0.284,2
580,0.288,2
590,0.295,2
600,0.304,2
610,0.309,2
620,0.303,2
630,0.284,2
640,0.28,2
650,0.282,2
660,0.293,2
670,0.294,2
680,0.304,2
690,0.307,2
700,0.317,2
710,0.322,2
720,0.333,2
730,0.342,2
740,0.351,2
750,0.36,2
760,0.375,2
770,0.37,2
780,0.386,2
790,0.391,2
800,0.402,2
810,0.41,2
820,0.414,2
830,0.428,2
840,0.438,2
850,0.449,2
860,0.456,2
870,0.471,2
880,0.472,2
890,0.491,2
900,0.499,2
910,0.503,2
920,0.523,2
930,0.527,2
940,0.537,2
950,0.572,2
960,0.565,2
970,0.569,2
980,0.579,2
990,0.587,2
1000,0.605,2
1010,0.614,2
1020,0.624,2
1030,0.646,2
1040,0.654,2
1050,0.657,2
1060,0.672,2
1070,0.684,2
1080,0.692,2
1090,0.712,2
1100,0.719,2
1110,0.734,2
1120,0.743,2
1130,0.758,2
1140,0.774,2
1150,0.783,2
1160,0.793,2
1170,0.808,2
1180,0.952,2
1190,0.901,2
1200,0.9,2
1210,0.893,2
1220,0.882,2
1230,0.898,2
1240,0.911,2
1250,0.945,2
1260,0.934,2
1270,0.951,2
1280,0.971,2
1290,1.016,2
1300,1.047,2
1310,0.999,2
1320,1.014,2
1330,1.021,2
1340,1.093,2
1350,1.192,2
1360,1.077,2
1370,1.083,2
1380,1.234,2
1390,1.128,2
1400,1.122,2
1410,1.237,2
1420,1.156,2
1430,1.291,2
1440,1.235,2
1450,1.215,2
1460,1.249,2
1470,1.52,2
1480,1.248,2
1490,1.425,2
1500,1.296,2
1510,1.295,2
1520,1.449,2
1530,1.531,2
1540,1.334,2
1550,1.837,2
1560,1.895,2
1570,1.857,2
1580,1.903,2
1590,1.74,2
1600,1.729,2
1610,1.731,2
1620,1.74,2
1630,1.759,2
1640,1.786,2
1650,1.79,2
1660,1.814,2
1670,1.99,2
1680,1.849,2
1690,1.872,2
1700,1.9,2
1710,1.907,2
1720,1.936,2
1730,1.945,2
1740,1.976,2
1750,2.032,2
1760,2.01,2
1770,2.026,2
1780,2.055,2
1790,2.069,2
1800,2.09,2
1810,2.107,2
1820,2.169,2
1830,2.15,2
1840,2.167,2
1850,2.202,2
1860,2.229,2
1870,2.242,2
1880,2.279,2
1890,2.287,2
1900,2.577,2
1910,2.347,2
1920,2.369,2
1930,2.372,2
1940,2.418,2
1950,2.428,2
1960,2.628,2
1970,2.578,2
1980,2.519,2
1990,2.592,2
2000,2.571,2
2010,2.733,2
2020,2.914,2
2030,2.778,2
2040,2.755,2
2050,2.789,2
2060,2.692,2
2070,2.823,2
2080,2.858,2
2090,2.798,2
2100,2.796,2
2110,2.859,2
2120,3.337,2
2130,3.182,2
2140,3.111,2
2150,2.91,2
2160,2.965,2
2170,2.968,2
2180,3.402,2
2190,3.373,2
2200,3.259,2
2210,3.153,2
2220,3.115,2
2230,3.88,2
2240,3.714,2
2250,3.549,2
2260,3.411,2
2270,3.611,2
2280,3.37,2
2290,3.278,2
2300,3.389,2
2310,3.93,2
2320,3.792,2
2330,3.718,2
2340,3.614,2
2350,3.438,2
2360,3.64,2
2370,3.478,2
2380,3.791,2
2390,3.515,2
2400,3.647,2
2410,3.577,2
2420,3.774,2
2430,3.7,2
2440,3.727,2
2450,3.72,2
2460,3.722,2
2470,3.743,2
2480,3.773,2
2490,4.037,2
2500,3.843,2
2510,3.863,2
2520,3.907,2
2530,4.071,2
2540,4.027,2
2550,4.042,2
2560,4.126,2
2570,4.213,2
2580,4.066,2
2590,4.154,2
2600,4.122,2
2610,4.236,2
2620,4.195,2
2630,4.25,2
2640,4.325,2
2650,4.261,2
2660,4.319,2
2670,4.331,2
2680,4.494,2
2690,4.45,2
2700,4.426,2
2710,4.53,2
2720,4.563,2
2730,4.529,2
2740,4.56,2
2750,4.679,2
2760,4.65,2
2770,4.647,2
2780,4.744,2
2790,4.735,2
2800,4.742,2
2810,4.798,2
2820,4.928,2
2830,4.884,2
2840,4.954,2
2850,5.017,2
2860,4.996,2
2870,5.057,2
2880,5.183,2
2890,5.079,2
2900,5.124,2
2910,5.272,2
2920,5.176,2
2930,5.291,2
2940,5.361,2
2950,5.212,2
2960,5.26,2
2970,5.356,2
2980,5.325,2
2990,5.351,2
3000,5.426,2
