"Complexity","Time in ms","Count"
10,0.015,2
20,0.009,2
30,0.015,2
40,0.026,2
50,0.038,2
60,0.059,2
70,0.07,2
80,0.091,2
90,0.105,2
100,0.135,2
110,0.164,2
120,0.209,2
130,0.246,2
140,0.289,2
150,0.337,2
160,0.436,2
170,0.371,2
180,0.119,2
190,0.096,2
200,0.117,2
210,0.139,2
220,0.099,2
230,0.096,2
240,0.11,2
250,0.115,2
260,0.158,2
270,0.169,2
280,0.147,2
290,0.156,2
300,0.198,2
310,0.217,2
320,0.222,2
330,0.162,2
340,0.185,2
350,0.185,2
360,0.198,2
370,0.207,2
380,0.165,2
390,0.171,2
400,0.177,2
410,0.188,2
420,0.19,2
430,0.204,2
440,0.21,2
450,0.208,2
460,0.173,2
470,0.176,2
480,0.182,2
490,0.188,2
500,0.195,2
510,0.204,2
520,0.209,2
530,0.216,2
540,0.224,2
550,0.235,2
560,0.242,2
570,0.25,2
580,0.258,2
590,0.269,2
600,0.277,2
610,0.285,2
620,0.3,2
630,0.306,2
640,0.353,2
650,0.364,2
660,0.378,2
670,0.342,2
680,0.358,2
690,0.361,2
700,0.378,2
710,0.405,2
720,0.44,2
730,0.413,2
740,0.416,2
750,0.423,2
760,0.432,2
770,0.438,2
780,0.447,2
790,0.491,2
800,0.5,2
810,0.5,2
820,0.51,2
830,0.51,2
840,0.525,2
850,0.537,2
860,0.553,2
870,0.564,2
880,0.578,2
890,0.593,2
900,0.6,2
910,0.63,2
920,0.628,2
930,0.645,2
940,0.674,2
950,0.698,2
960,0.692,2
970,0.705,2
980,0.719,2
990,0.728,2
1000,0.745,2
1010,0.788,2
1020,0.775,2
1030,0.786,2
1040,0.842,2
1050,0.825,2
1060,0.842,2
1070,0.896,2
1080,0.865,2
1090,1.03,2
1100,1.064,2
1110,0.974,2
1120,0.926,2
1130,0.947,2
1140,0.963,2
1150,0.98,2
1160,1.009,2
1170,1.031,2
1180,1.052,2
1190,1.077,2
1200,1.064,2
1210,1.074,2
1220,1.095,2
1230,1.109,2
1240,1.125,2
1250,1.145,2
1260,1.172,2
1270,1.187,2
1280,1.214,2
1290,1.228,2
1300,1.249,2
1310,1.271,2
1320,1.294,2
1330,1.341,2
1340,1.343,2
1350,1.359,2
1360,1.385,2
1370,1.402,2
1380,1.417,2
1390,1.442,2
1400,1.46,2
1410,1.482,2
1420,1.494,2
1430,1.523,2
1440,1.569,2
1450,1.57,2
1460,1.576,2
1470,1.603,2
1480,1.673,2
1490,1.647,2
1500,1.667,2
1510,1.684,2
1520,1.719,2
1530,1.784,2
1540,1.765,2
1550,1.968,2
1560,1.89,2
1570,1.905,2
1580,2.017,2
1590,2.306,2
1600,2.254,2
1610,2.381,2
1620,2.172,2
1630,2.13,2
1640,2.124,2
1650,2.368,2
1660,2.367,2
1670,2.53,2
1680,2.348,2
1690,2.187,2
1700,2.246,2
1710,2.275,2
1720,2.279,2
1730,2.319,2
1740,2.36,2
1750,2.655,2
1760,2.5,2
1770,2.831,2
1780,2.439,2
1790,2.672,2
1800,2.945,2
1810,2.931,2
1820,2.822,2
1830,2.956,2
1840,2.642,2
1850,3.093,2
1860,2.797,2
1870,2.923,2
1880,2.723,2
1890,3.056,2
1900,2.87,2
1910,2.877,2
1920,2.967,2
1930,2.915,2
1940,2.997,2
1950,3.504,2
1960,3.371,2
1970,3.123,2
1980,3.085,2
1990,3.056,2
2000,3.112,2
2010,3.179,2
2020,3.788,2
2030,3.79,2
2040,3.305,2
2050,3.899,2
2060,3.406,2
2070,3.959,2
2080,4.004,2
2090,3.802,2
2100,3.454,2
2110,4.133,2
2120,3.743,2
2130,3.799,2
2140,4.217,2
2150,4.236,2
2160,4.212,2
2170,4.079,2
2180,4.049,2
2190,4.444,2
2200,4.035,2
2210,3.837,2
2220,3.93,2
2230,4.355,2
2240,4.242,2
2250,4.27,2
2260,4.709,2
2270,4.486,2
2280,4.653,2
2290,4.039,2
2300,4.374,2
2310,4.331,2
2320,4.466,2
2330,4.182,2
2340,5.047,2
2350,4.734,2
2360,4.407,2
2370,5.027,2
2380,4.403,2
2390,4.835,2
2400,4.839,2
2410,4.471,2
2420,4.701,2
2430,5.11,2
2440,4.689,2
2450,4.657,2
2460,5.049,2
2470,4.722,2
2480,5.194,2
2490,4.977,2
2500,5.547,2
2510,5.402,2
2520,4.933,2
2530,5.489,2
2540,5.593,2
2550,5.13,2
2560,5.631,2
2570,5.237,2
2580,5.167,2
2590,6.053,2
2600,5.966,2
2610,6.197,2
2620,6.166,2
2630,5.321,2
2640,5.434,2
2650,6.289,2
2660,5.439,2
2670,5.601,2
2680,5.906,2
2690,6.369,2
2700,6.32,2
2710,6.536,2
2720,6.128,2
2730,7.157,2
2740,6.605,2
2750,6.77,2
2760,6.684,2
2770,6.8,2
2780,7.191,2
2790,6.421,2
2800,6.693,2
2810,6.638,2
2820,7.134,2
2830,6.81,2
2840,6.824,2
2850,6.292,2
2860,6.322,2
2870,7.599,2
2880,6.503,2
2890,7.081,2
2900,7.372,2
2910,6.959,2
2920,6.664,2
2930,7.142,2
2940,7.116,2
2950,7.107,2
2960,6.866,2
2970,7.625,2
2980,8.074,2
2990,7.72,2
3000,7.217,2
