"Complexity","Time in ms","Count"
10,0.073,2
20,0.079,2
30,0.126,2
40,0.143,2
50,0.178,2
60,0.177,2
70,0.299,2
80,0.262,2
90,0.248,2
100,0.22,2
110,0.264,2
120,0.229,2
130,0.244,2
140,0.237,2
150,0.173,2
160,0.189,2
170,0.193,2
180,0.232,2
190,0.264,2
200,0.229,2
210,0.195,2
220,0.108,2
230,0.117,2
240,0.116,2
250,0.121,2
260,0.143,2
270,0.109,2
280,0.1,2
290,0.089,2
300,0.097,2
310,0.094,2
320,0.104,2
330,0.1,2
340,0.118,2
350,0.111,2
360,0.104,2
370,0.112,2
380,0.112,2
390,0.113,2
400,0.118,2
410,0.123,2
420,0.152,2
430,0.148,2
440,0.162,2
450,0.167,2
460,0.188,2
470,0.181,2
480,0.199,2
490,0.198,2
500,0.197,2
510,0.149,2
520,0.152,2
530,0.157,2
540,0.155,2
550,0.166,2
560,0.16,2
570,0.163,2
580,0.169,2
590,0.172,2
600,0.192,2
610,0.181,2
620,0.183,2
630,0.185,2
640,0.187,2
650,0.19,2
660,0.191,2
670,0.213,2
680,0.185,2
690,0.188,2
700,0.19,2
710,0.201,2
720,0.196,2
730,0.193,2
740,0.199,2
750,0.189,2
760,0.182,2
770,0.182,2
780,0.2,2
790,0.19,2
800,0.198,2
810,0.189,2
820,0.245,2
830,0.226,2
840,0.194,2
850,0.208,2
860,0.201,2
870,0.205,2
880,0.215,2
890,0.205,2
900,0.209,2
910,0.219,2
920,0.213,2
930,0.212,2
940,0.222,2
950,0.222,2
960,0.221,2
970,0.223,2
980,0.222,2
990,0.234,2
1000,0.176,2
1010,0.186,2
1020,0.2,2
1030,0.176,2
1040,0.179,2
1050,0.181,2
1060,0.188,2
1070,0.204,2
1080,0.187,2
1090,0.189,2
1100,0.193,2
1110,0.21,2
1120,0.196,2
1130,0.217,2
1140,0.221,2
1150,0.22,2
1160,0.217,2
1170,0.203,2
1180,0.205,2
1190,0.206,2
1200,0.254,2
1210,0.206,2
1220,0.211,2
1230,0.238,2
1240,0.237,2
1250,0.218,2
1260,0.224,2
1270,0.217,2
1280,0.221,2
1290,0.227,2
1300,0.26,2
1310,0.266,2
1320,0.237,2
1330,0.226,2
1340,0.26,2
1350,0.253,2
1360,0.285,2
1370,0.278,2
1380,0.281,2
1390,0.256,2
1400,0.243,2
1410,0.245,2
1420,0.267,2
1430,0.254,2
1440,0.261,2
1450,0.252,2
1460,0.256,2
1470,0.267,2
1480,0.257,2
1490,0.257,2
1500,0.259,2
1510,0.285,2
1520,0.264,2
1530,0.272,2
1540,0.272,2
1550,0.269,2
1560,0.274,2
1570,0.274,2
1580,0.28,2
1590,0.278,2
1600,0.28,2
1610,0.282,2
1620,0.281,2
1630,0.284,2
1640,0.285,2
1650,0.289,2
1660,0.304,2
1670,0.323,2
1680,0.344,2
1690,0.303,2
1700,0.307,2
1710,0.305,2
1720,0.304,2
1730,0.304,2
1740,0.309,2
1750,0.31,2
1760,0.314,2
1770,0.332,2
1780,0.412,2
1790,0.32,2
1800,0.328,2
1810,0.351,2
1820,0.334,2
1830,0.332,2
1840,0.324,2
1850,0.326,2
1860,0.338,2
1870,0.352,2
1880,0.454,2
1890,0.433,2
1900,0.35,2
1910,0.351,2
1920,0.367,2
1930,0.341,2
1940,0.346,2
1950,0.35,2
1960,0.39,2
1970,0.423,2
1980,0.395,2
1990,0.423,2
2000,0.387,2
2010,0.372,2
2020,0.37,2
2030,0.365,2
2040,0.392,2
2050,0.399,2
2060,0.362,2
2070,0.38,2
2080,0.356,2
2090,0.351,2
2100,0.339,2
2110,0.357,2
2120,0.355,2
2130,0.428,2
2140,0.367,2
2150,0.374,2
2160,0.371,2
2170,0.363,2
2180,0.366,2
2190,0.359,2
2200,0.371,2
2210,0.401,2
2220,0.375,2
2230,0.404,2
2240,0.388,2
2250,0.363,2
2260,0.371,2
2270,0.366,2
2280,0.373,2
2290,0.37,2
2300,0.374,2
2310,0.417,2
2320,0.417,2
2330,0.38,2
2340,0.41,2
2350,0.384,2
2360,0.389,2
2370,0.386,2
2380,0.389,2
2390,0.386,2
2400,0.393,2
2410,0.391,2
2420,0.39,2
2430,0.394,2
2440,0.394,2
2450,0.397,2
2460,0.399,2
2470,0.399,2
2480,0.417,2
2490,0.406,2
2500,0.415,2
2510,0.537,2
2520,0.555,2
2530,0.468,2
2540,0.419,2
2550,0.558,2
2560,0.424,2
2570,0.418,2
2580,0.447,2
2590,0.46,2
2600,0.431,2
2610,0.428,2
2620,0.431,2
2630,0.434,2
2640,0.43,2
2650,0.446,2
2660,0.459,2
2670,0.435,2
2680,0.441,2
2690,0.444,2
2700,0.446,2
2710,0.442,2
2720,0.48,2
2730,0.444,2
2740,0.451,2
2750,0.449,2
2760,0.489,2
2770,0.457,2
2780,0.462,2
2790,0.456,2
2800,0.507,2
2810,0.489,2
2820,0.557,2
2830,0.484,2
2840,0.495,2
2850,0.481,2
2860,0.578,2
2870,0.622,2
2880,0.485,2
2890,0.471,2
2900,0.484,2
2910,0.474,2
2920,0.486,2
2930,0.481,2
2940,0.728,2
2950,0.613,2
2960,0.55,2
2970,0.49,2
2980,0.49,2
2990,0.492,2
3000,0.489,2
