"Complexity","Time in ms","Count"
10,0.527,2
20,0.11,2
30,0.162,2
40,0.22,2
50,0.37,2
60,0.305,2
70,0.324,2
80,0.354,2
90,0.35,2
100,0.411,2
110,0.422,2
120,0.412,2
130,0.441,2
140,0.435,2
150,0.46,2
160,0.354,2
170,0.301,2
180,0.274,2
190,0.231,2
200,0.234,2
210,0.253,2
220,0.293,2
230,0.256,2
240,0.369,2
250,0.22,2
260,0.186,2
270,0.177,2
280,0.176,2
290,0.181,2
300,0.179,2
310,0.219,2
320,0.218,2
330,0.182,2
340,0.188,2
350,0.228,2
360,0.209,2
370,0.203,2
380,0.206,2
390,0.22,2
400,0.229,2
410,0.227,2
420,0.234,2
430,0.236,2
440,0.248,2
450,0.247,2
460,0.261,2
470,0.261,2
480,0.266,2
490,0.267,2
500,0.274,2
510,0.284,2
520,0.405,2
530,0.316,2
540,0.28,2
550,0.282,2
560,0.284,2
570,0.29,2
580,0.455,2
590,0.296,2
600,0.279,2
610,0.281,2
620,0.284,2
630,0.301,2
640,0.293,2
650,0.298,2
660,0.331,2
670,0.369,2
680,0.367,2
690,0.32,2
700,0.325,2
710,0.333,2
720,0.339,2
730,0.389,2
740,0.372,2
750,0.377,2
760,0.372,2
770,0.368,2
780,0.368,2
790,0.37,2
800,0.376,2
810,0.38,2
820,0.388,2
830,0.344,2
840,0.311,2
850,0.321,2
860,0.336,2
870,0.323,2
880,0.325,2
890,0.341,2
900,0.332,2
910,0.588,2
920,0.44,2
930,0.374,2
940,0.438,2
950,0.388,2
960,0.342,2
970,0.362,2
980,0.37,2
990,0.345,2
1000,0.35,2
1010,0.434,2
1020,0.369,2
1030,0.381,2
1040,0.489,2
1050,0.515,2
1060,0.521,2
1070,0.574,2
1080,0.471,2
1090,0.391,2
1100,0.409,2
1110,0.462,2
1120,0.39,2
1130,0.395,2
1140,0.402,2
1150,0.404,2
1160,0.428,2
1170,0.482,2
1180,0.406,2
1190,0.403,2
1200,0.404,2
1210,0.416,2
1220,0.438,2
1230,0.526,2
1240,0.434,2
1250,0.442,2
1260,0.435,2
1270,0.454,2
1280,0.444,2
1290,0.453,2
1300,0.473,2
1310,0.497,2
1320,0.493,2
1330,0.464,2
1340,0.511,2
1350,0.437,2
1360,0.492,2
1370,0.391,2
1380,0.441,2
1390,0.407,2
1400,0.454,2
1410,0.421,2
1420,0.435,2
1430,0.433,2
1440,0.382,2
1450,0.388,2
1460,0.391,2
1470,0.396,2
1480,0.444,2
1490,0.41,2
1500,0.409,2
1510,0.406,2
1520,0.41,2
1530,0.416,2
1540,0.432,2
1550,0.493,2
1560,0.43,2
1570,0.415,2
1580,0.427,2
1590,0.425,2
1600,0.437,2
1610,0.446,2
1620,0.442,2
1630,0.431,2
1640,0.472,2
1650,3.538,2
1660,0.584,2
1670,0.459,2
1680,0.462,2
1690,0.455,2
1700,0.463,2
1710,0.452,2
1720,0.533,2
1730,0.461,2
1740,0.462,2
1750,0.45,2
1760,0.448,2
1770,0.468,2
1780,0.443,2
1790,0.493,2
1800,0.449,2
1810,0.421,2
1820,0.429,2
1830,0.448,2
1840,0.425,2
1850,0.476,2
1860,0.477,2
1870,0.498,2
1880,0.471,2
1890,0.467,2
1900,0.442,2
1910,0.452,2
1920,0.558,2
1930,0.642,2
1940,0.605,2
1950,0.62,2
1960,0.639,2
1970,0.565,2
1980,0.458,2
1990,0.458,2
2000,0.459,2
2010,0.473,2
2020,0.47,2
2030,0.472,2
2040,0.481,2
2050,0.645,2
2060,0.486,2
2070,0.477,2
2080,0.482,2
2090,0.489,2
2100,0.483,2
2110,0.49,2
2120,0.489,2
2130,0.492,2
2140,0.495,2
2150,0.5,2
2160,0.5,2
2170,0.508,2
2180,0.501,2
2190,0.537,2
2200,0.544,2
2210,0.512,2
2220,0.516,2
2230,0.513,2
2240,0.521,2
2250,0.525,2
2260,0.525,2
2270,0.526,2
2280,0.59,2
2290,0.538,2
2300,0.551,2
2310,0.585,2
2320,0.562,2
2330,0.545,2
2340,0.551,2
2350,0.575,2
2360,0.582,2
2370,0.567,2
2380,0.556,2
2390,0.561,2
2400,0.556,2
2410,0.586,2
2420,0.586,2
2430,0.565,2
2440,0.668,2
2450,0.622,2
2460,0.619,2
2470,0.583,2
2480,0.602,2
2490,0.583,2
2500,0.6,2
2510,0.598,2
2520,0.654,2
2530,0.683,2
2540,0.674,2
2550,0.951,2
2560,0.702,2
2570,0.694,2
2580,0.694,2
2590,0.701,2
2600,0.699,2
2610,0.699,2
2620,0.733,2
2630,0.744,2
2640,0.926,2
2650,0.859,2
2660,0.715,2
2670,0.725,2
2680,0.719,2
2690,0.735,2
2700,0.716,2
2710,0.745,2
2720,0.76,2
2730,0.803,2
2740,0.772,2
2750,0.804,2
2760,1.071,2
2770,0.901,2
2780,0.761,2
2790,0.755,2
2800,0.755,2
2810,0.847,2
2820,0.868,2
2830,3.019,2
2840,0.683,2
2850,0.671,2
2860,0.665,2
2870,0.679,2
2880,0.691,2
2890,0.686,2
2900,0.675,2
2910,0.679,2
2920,0.677,2
2930,0.682,2
2940,0.748,2
2950,0.693,2
2960,0.687,2
2970,0.704,2
2980,0.756,2
2990,0.869,2
3000,0.754,2
